"Weight" "Wing.Length" "Bill.Depth" "Head.and.Bill.Length" "Sex"
"1" 965 434 19.8 119 "Male"
"2" 875 400 18.9 114 "Female"
"3" 1180 430 20.3 130 "Male"
"4" 810 405 17.5 111 "Female"
"5" 860 416 17.2 111 "Female"
"6" 820 411 17 110 "Female"
"7" 760 408 17.9 114 "Female"
"8" 705 416 18 110 "Female"
"9" 1100 441 19.7 125 "Male"
"10" 1040 428 19.6 120 "Male"
"11" 1055 430 19.6 122 "Male"
"12" 870 412 17.4 113 "Female"
"13" 1060 433 19.3 124 "Male"
"14" 870 413 18.5 119 "Female"
"15" 1090 433 19.8 127 "Male"
"16" 900 410 18 114 "Female"
"17" 815 407 18.5 112 "Female"
"18" 1050 418 19.6 124 "Male"
"19" 900 411 18.2 114 "Female"
"20" 1120 444 19.6 127 "Male"
"21" 1020 425 20.3 122 "Male"
"22" 1000 428 19.7 123 "Male"
"23" 760 397 18 105 "Female"
"24" 840 412 17.3 111 "Female"
"25" 930 411 18.5 114 "Female"
"26" 1010 423 18.8 125 "Male"
"27" 840 395 17.7 110 "Male"
"28" 880 408 17.6 117 "Female"
"29" 805 399 17 107 "Female"
"30" 965 421 20 119 "Male"
"31" 1010 430 20.8 127 "Male"
"32" 1000 434 19.1 123 "Male"
"33" 980 430 19.8 124 "Male"
"34" 870 414 17.9 112 "Female"
"35" 780 401 16.3 111 "Female"
"36" 925 395 17.2 112 "Female"
"37" 980 424 19 120 "Male"
"38" 1070 436 19.7 126 "Male"
"39" 710 404 16.7 110 "Female"
"40" 1110 424 19.2 127 "Male"
"41" 845 410 16.8 111 "Female"
"42" 1030 427 19.1 124 "Male"
"43" 865 405 17.9 118 "Female"
"44" 885 401 17.6 117 "Female"
"45" 810 412 16.8 110 "Female"
"46" 1005 434 19.2 124 "Male"
"47" 1080 415 20 125 "Male"
"48" 910 410 16.8 115 "Female"
"49" 900 407 17.7 113 "Female"
"50" 1010 425 18.9 124 "Male"
"51" 805 412 17 114 "Female"
"52" 880 412 18.1 113 "Female"
"53" 790 408 17.4 113 "Female"
"54" 850 396 16.9 116 "Female"
"55" 830 408 16.9 110 "Female"
"56" 1045 446 19.2 128 "Male"
"57" 1000 430 20.2 128 "Male"
"58" 960 415 18.2 127 "Male"
"59" 830 404 16.2 116 "Female"
"60" 1070 413 18.6 122 "Male"
"61" 1150 439 19 126 "Male"
"62" 1055 427 19.2 124 "Male"
"63" 1005 435 19 126 "Male"
"64" 880 409 17.1 113 "Female"
"65" 890 408 17.9 110 "Female"
"66" 720 398 15.7 107 "Female"
"67" 885 395 18.4 114 "Female"
"68" 860 409 17.3 115 "Female"
"69" 900 411 17.6 114 "Female"
"70" 880 400 17.1 111 "Female"
"71" 1020 425 18.4 124 "Male"
"72" 860 407 17.4 115 "Female"
"73" 835 398 17 114 "Female"
"74" 970 429 18.2 123 "Male"
"75" 855 403 18.3 112 "Female"
"76" 860 405 17.5 113 "Female"
"77" 1110 404 17.3 115 "Female"
"78" 960 427 18.8 122 "Male"
"79" 1020 432 17.7 125 "Male"
"80" 1050 422 20 127 "Male"
"81" 920 411 17.1 117 "Female"
"82" 780 402 17.4 114 "Female"
"83" 860 427 17.7 118 "Female"
"84" 870 401 17.1 112 "Female"
"85" 1070 431 20.6 127 "Male"
"86" 980 423 18.9 124 "Male"
"87" 870 409 17.4 116 "Female"
"88" 880 411 18.4 122 "Male"
"89" 1010 429 18.3 119 "Male"
"90" 830 404 17.7 114 "Female"
"91" 740 422 17.4 120 "Male"
"92" 720 410 17.6 114 "Female"
"93" 1030 427 18.9 129 "Male"
"94" 1080 427 19.7 134 "Male"
"95" 980 443 18.8 126 "Male"
"96" 760 406 16.8 115 "Female"
"97" 900 412 17.4 115 "Female"
"98" 860 398 16.7 115 "Female"
"99" 890 415 17 116 "Female"
"100" 800 404 17.9 115 "Female"
"101" 890 426 18.2 126 "Male"
"102" 720 401 15.7 113 "Female"
"103" 870 416 17.3 120 "Female"
"104" 830 398 16.9 116 "Female"
"105" 870 400 17.6 113 "Female"
"106" 780 413 17 117 "Female"
"107" 890 427 18.3 116 "Female"
"108" 1010 431 19 123 "Male"
"109" 810 396 16.8 115 "Female"
"110" 940 429 19.3 127 "Male"
"111" 880 400 17 110 "Female"
"112" 850 400 18 115 "Female"
"113" 990 433 19.1 123 "Male"
"114" 960 413 17.6 114 "Female"
"115" 880 412 17 117 "Female"
"116" 860 409 17.8 114 "Female"
"117" 1000 436 20.2 124 "Male"
"118" 835 397 17 119 "Female"
"119" 810 399 17.7 108 "Female"
"120" 825 396 17.7 110 "Female"
"121" 1065 437 18.7 127 "Male"
"122" 860 402 17.5 115 "Female"
"123" 785 412 17.9 115 "Female"
"124" 870 423 17.7 117 "Female"
"125" 1045 416 18.3 127 "Male"
"126" 855 408 16.2 114 "Female"
"127" 820 401 18.4 112 "Female"
"128" 965 421 19.3 118 "Male"
"129" 850 417 16.8 114 "Female"
"130" 800 396 17.6 110 "Female"
"131" 820 410 17.8 116 "Female"
"132" 730 405 16.7 110 "Female"
"133" 850 408 16.7 114 "Female"
"134" 865 432 19 127 "Male"
"135" 1010 428 19.7 124 "Male"
"136" 895 415 17.7 114 "Female"
"137" 830 409 16.7 111 "Female"
"138" 900 415 17.4 118 "Female"
"139" 895 400 16.5 113 "Female"
"140" 860 416 17.3 118 "Female"
"141" 1060 428 20.1 129 "Male"
"142" 1130 443 19.5 126 "Male"
"143" 1115 435 19.6 130 "Male"
"144" 945 398 18.7 119 "Female"
"145" 820 418 16.6 115 "Female"
"146" 805 403 16.8 115 "Female"
"147" 830 407 16.5 118 "Female"
"148" 1060 430 18.8 125 "Male"
"149" 1020 434 19.2 124 "Male"
"150" 1035 431 18.8 124 "Male"
"151" 855 412 18.5 110 "Female"
"152" 980 422 19.1 127 "Male"
"153" 985 422 19.2 123 "Male"
"154" 875 411 17.5 118 "Female"
"155" 790 399 16.3 112 "Female"
"156" 780 409 17.9 119 "Female"
"157" 985 428 19.5 124 "Male"
"158" 820 404 17.1 117 "Female"
"159" 1060 430 20.1 126 "Male"
"160" 870 409 17.7 124 "Female"
"161" 895 421 18.1 115 "Female"
"162" 1145 441 18.8 131 "Male"
"163" 855 401 17.6 110 "Female"
"164" 845 400 17.2 114 "Female"
"165" 1060 424 18.9 127 "Male"
"166" 920 409 17.2 116 "Female"
"167" 805 406 17.4 112 "Female"
"168" 840 421 17 115 "Female"
"169" 1065 434 18.2 128 "Male"
"170" 890 416 19.2 125 "Male"
"171" 1095 431 20.1 127 "Male"
"172" 825 411 17.8 119 "Female"
"173" 825 412 18 118 "Female"
"174" 760 407 17.1 113 "Female"
"175" 850 413 18.3 115 "Female"
"176" 825 410 16.9 118 "Female"
"177" 1190 444 21.1 126 "Male"
"178" 870 423 17.8 115 "Female"
"179" 1080 431 19.4 133 "Male"
"180" 1015 435 20 127 "Male"
"181" 1190 433 19.9 133 "Male"
"182" 900 402 18.2 117 "Female"
"183" 1165 431 21.3 126 "Male"
"184" 1055 431 18.6 127 "Male"
"185" 1210 440 21.1 132 "Male"
"186" 1185 436 20.2 131 "Male"
"187" 1220 426 21.5 131 "Male"
"188" 1010 438 19.3 125 "Male"
